Title,Rating,Director,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3
Saanjh,8.8,Ajay Saklani,Asif Basra,Tanu Bhardwaj,Aditi Charak,Hoshiyar Singh Gautam,Drama            ,,
Section 375,8.5,Ajay Bahl,Akshaye Khanna,Richa Chadha,Meera Chopra,Rahul Bhat,Crime,Drama            ,
Chhichhore,8.5,Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,Comedy,Drama            ,
Uri: The Surgical Strike,8.4,Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,Action,Drama,War            
Taare Zameen Par,8.4,Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,Drama,Family            ,
3 Idiots,8.4,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,Comedy,Drama            ,
Raag Desh,8.3,Tigmanshu Dhulia,Kunal Kapoor,Amit Sadh,Mohit Marwah,Kenneth Desai,Action,Drama,History            
Shahid,8.3,Hansal Mehta,Rajkummar Rao,Mohammed Zeeshan Ayyub,Baljinder Kaur,Tigmanshu Dhulia,Biography,Crime,Drama            
Bangalore Days,8.3,Anjali Menon,Nazriya Nazim,Nivin Pauly,Dulquer Salmaan,Fahadh Faasil,Comedy,Drama,Romance            
Sairat,8.3,Nagraj Manjule,Rinku Rajguru,Akash Thosar,Arbaz Shaikh,Tanaji Galgunde,Drama,Romance            ,
Premam,8.3,Alphonse Puthren,Nivin Pauly,Sai Pallavi,Madonna Sebastian,S.V. Krishna Shankar,Comedy,Drama,Romance            
Chhello Divas,8.2,Krishnadev Yagnik,Yash Soni,Malhar Thakar,Janki Bodiwala,Mitra Gadhvi,Comedy            ,,
Chak De! India,8.2,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,Drama,Family,Sport            
Queen,8.2,Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,Comedy,Drama            ,
Sholay,8.2,Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,Action,Adventure,Comedy            
Vishwaroopam,8.2,Kamal Haasan,Pooja Kumar,Miles Anderson,Kamal Haasan,Rahul Bose,Action,Thriller            ,
Super 30,8.2,Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Nandish Singh,Virendra Saxena,Biography,Drama            ,
PK,8.2,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,Comedy,Drama,Fantasy            
Arjun Reddy,8.2,Sandeep Reddy Vanga,Vijay Deverakonda,Shalini Pandey,Jia Sharma,Kanchana,Action,Drama,Romance            
Mukkabaaz,8.1,Anurag Kashyap,Vineet Kumar Singh,Jimmy Sheirgill,Zoya Hussain,Ravi Kishan,Action,Drama,Sport            
"Love, Lies and Seeta",8.1,Chandra Pemmaraju,Melanie Chandra,Arjun Gupta,Lavrenti Lopes,Michael Derek,Comedy,Drama,Romance            
