Title,Genre,Rating,Gross,Director,Star1,Star2,Star3,Star4,,,,,
My Name Is Khan,"
Drama            ",8,$4.02M,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,,,,,
,,,,,,,,,,,,,
Raajneeti,"
Drama, Thriller            ",7.1,$1.44M,Prakash Jha,Ajay Devgn,Ranbir Kapoor,Nana Patekar,Arjun Rampal,,,,,
,,,,,,,,,,,,,
Band Baaja Baaraat,"
Comedy, Drama, Romance            ",7.2,NA,Maneesh Sharma,Ranveer Singh,Anushka Sharma,Ranjit Batra,Manu Rishi Chadha,,,,,
,,,,,,,,,,,,,
Tere Bin Laden,"
Comedy, Drama            ",7.2,NA,Abhishek Sharma,Ali Zafar,Pradhuman Singh,Piyush Mishra,Nikhil Ratnaparkhi,,,,,
,,,,,,,,,,,,,
Action Replayy,"
Comedy, Romance, Sci-Fi            ",4.2,NA,Vipul Amrutlal Shah,Akshay Kumar,Aishwarya Rai Bachchan,Om Puri,Kiron Kher,,,,,
,,,,,,,,,,,,,
Ada... A Way of Life,"
Action, Crime, Drama            ",3.5,NA,Tanvir Ahmad,Ayaan Ahmad,Ayesha Jhulka,Rahul Roy,Nauheed Cyrusi,,,,,
,,,,,,,,,,,,,
Allah Ke Banday,"
Action, Crime, Drama            ",6.2,NA,Faruk Kabir,Varun Bhagwat,Vikram Gokhale,Zakir Hussain,Bharat Jha,,,,,
,,,,,,,,,,,,,
Anjaana Anjaani,"
Comedy, Drama, Musical            ",5.8,$0.85M,Siddharth Anand,Priyanka Chopra,Carl Marino,Ranbir Kapoor,Aubrey K. Miller,,,,,
,,,,,,,,,,,,,
Atithi Tum Kab Jaoge?,"
Comedy            ",6.4,NA,Ashwani Dhir,Ajay Devgn,Konkona Sen Sharma,Paresh Rawal,Satish Kaushik,,,,,
,,,,,,,,,,,,,
Badmaa$h Company,"
Comedy, Crime, Drama            ",6,NA,Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang,Vir Das,,,,,
,,,,,,,,,,,,,
Chase,"
Action, Crime, Drama            ",4.8,NA,Jag Mundhra,Anuj Saxena,Udita Goswami,Tarina Patel,Sameer Kochhar,,,,,
,,,,,,,,,,,,,
Crook: It's Good to Be Bad,"
Action, Drama, Thriller            ",5,NA,Mohit Suri,Emraan Hashmi,Neha Sharma,Arjan Bajwa,Mashhoor Amrohi,,,,,
,,,,,,,,,,,,,
Dabangg,"
Action, Comedy            ",6.3,$4.63M,Abhinav Kashyap,Salman Khan,Sonakshi Sinha,Sonu Sood,Arbaaz Khan,,,,,
,,,,,,,,,,,,,
Enthiran,"
Action, Sci-Fi            ",7.1,$4.37M,S. Shankar,Rajinikanth,Aishwarya Rai Bachchan,Danny Denzongpa,Santhanam,,,,,
,,,,,,,,,,,,,
Golmaal 3,"
Action, Comedy            ",5.4,$1.13M,Rohit Shetty,Mithun Chakraborty,Ajay Devgn,Kareena Kapoor,Tusshar Kapoor,,,,,
,,,,,,,,,,,,,
Guzaarish,"
Drama            ",7.4,$1.02M,Sanjay Leela Bhansali,Hrithik Roshan,Aishwarya Rai Bachchan,Shernaz Patel,Aditya Roy Kapoor,,,,,
,,,,,,,,,,,,,
Housefull,"
Comedy            ",5.3,$1.17M,Sajid Khan,Akshay Kumar,Deepika Padukone,Riteish Deshmukh,Lara Dutta,,,,,
,,,,,,,,,,,,,
Hum Tum Aur Ghost,"
Comedy, Drama, Fantasy            ",4.7,NA,Kabeer Kaushik,Arshad Warsi,Dia Mirza,Boman Irani,Sandhya Mridul,,,,,
,,,,,,,,,,,,,
I Am,"
Drama            ",6.9,NA,Onir,Juhi Chawla,Rahul Bose,Radhika Apte,Nandita Das,,,,,
,,,,,,,,,,,,,
Isi Life Mein...!,"
Comedy, Drama, Romance            ",5.7,NA,Vidhi Kasliwal,Akshay Oberoi,Sandeepa Dhar,Mohnish Bahl,Prachee Shah Paandya,,,,,
,,,,,,,,,,,,,
Ishqiya,"
Comedy, Drama, Romance            ",7.3,NA,Abhishek Chaubey,Vidya Balan,Naseeruddin Shah,Arshad Warsi,Salman Shahid,,,,,
,,,,,,,,,,,,,
Jhootha Hi Sahi,"
Comedy, Drama, Romance            ",6.1,NA,Abbas Tyrewala,John Abraham,Paakhi A. Tyrewala,Raghu Ram,Manasi Scott,,,,,
,,,,,,,,,,,,,
Kajraare,"
Crime, Drama, Romance            ",2.9,NA,Pooja Bhatt,Himesh Reshammiya,Sara Loren,Amrita Singh,Gulshan Grover,,,,,
,,,,,,,,,,,,,
Karthik Calling Karthik,"
Drama, Mystery, Thriller            ",7,$0.26M,Vijay Lalwani,Siddhartha Gupta,Swapnel Desai,Farhan Akhtar,Vipin Sharma,,,,,
,,,,,,,,,,,,,
Khelein Hum Jee Jaan Sey,"
Action, Drama, History            ",5.9,NA,Ashutosh Gowariker,Abhishek Bachchan,Deepika Padukone,Sikander Kher,Maninder Singh,,,,,
,,,,,,,,,,,,,
Kites,"
Action, Drama, Romance            ",6,$1.60M,Anurag Basu,Hrithik Roshan,Steven Michael Quezada,Bárbara Mori,Kangana Ranaut,,,,,
,,,,,,,,,,,,,
Knock Out,"
Action, Crime, Drama            ",5.9,NA,Mani Shankar,Sanjay Dutt,Irrfan Khan,Kangana Ranaut,Gulshan Grover,,,,,
,,,,,,,,,,,,,
Lafangey Parindey,"
Action, Drama, Romance            ",5.2,NA,Pradeep Sarkar,Neil Nitin Mukesh,Deepika Padukone,Vijay Adhav,Manish Chaudhary,,,,,
,,,,,,,,,,,,,
"LSD: Love, Sex Aur Dhokha","
Comedy, Crime, Drama            ",7.1,NA,Dibakar Banerjee,Nushrat Bharucha,Anshuman Jha,Neha Chauhan,Rajkummar Rao,,,,,
,,,,,,,,,,,,,
Mr. Singh/Mrs. Mehta,"
Drama            ",4.2,NA,Pravesh Bhardwaj,Prashant Narayanan,Aruna Shields,Naved Aslam,Lucy Hassan,,,,,
,,,,,,,,,,,,,
Dhobi Ghat,"
Drama            ",7,$0.58M,Kiran Rao,Prateik,Monica Dogra,Kriti Malhotra,Aamir Khan,,,,,
,,,,,,,,,,,,,
Nakshatra,"
Crime, Drama, Mystery            ",5.4,NA,Mohan Savalkar,Malaika Arora,Jhuma Biswas,Suresh Chatwal,Gajendra Chouhan,,,,,
,,,,,,,,,,,,,
Once Upon a Time in Mumbaai,"
Action, Crime, Drama            ",7.4,NA,Milan Luthria,Ajay Devgn,Emraan Hashmi,Kangana Ranaut,Prachi Desai,,,,,
,,,,,,,,,,,,,
